parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,"446,5",470,"493,5","462,003210353139","471,832178254587","481,042181468891",mL,00:03:51,00:02:59
peak flow,"52,25",55,"57,75","52,8696777109922","54,5383451095345","55,8998376912576",L/m,00:00:39,00:01:54
peak proximal pressure,"28,5",30,"31,5","29,2187841388889","29,6559623056451","30,0491424444444",cmH2O,00:03:51,00:02:34
ie ratio,"0,2375","0,25","0,2625","0,353927625772286","0,367416329658231","0,379090909090909",,00:02:34,00:02:37
breath rate,"18,05",19,"19,95","19,0597204574333","19,3187149328931","19,77587343441",bpm,00:00:33,00:02:37
high pressure,0,0,0,"-0,221728","0,00354187383333319","0,249444",psi,00:01:24,00:03:31
inspiratory time,"0,76","0,8","0,84","0,802","0,834518533333204","0,85",s,00:02:34,00:02:59
expiratory time,"2,185","2,3","2,415","2,2","2,27141706666626","2,31",s,00:02:36,00:00:48
peep,"4,75",5,"5,25","4,81330611111111","5,10807053080151","5,37023838888889",cmH2O,00:03:04,00:02:36
minute volume,"8,835","9,3","9,765","8,98093956800531","9,20771585688465","9,53784888781756",L,00:00:48,00:02:37
